,time,size,direction
0,0.0,176.0,1.0
1,0.0018045902252197266,1500.0,1.0
2,0.0019316673278808594,1500.0,1.0
3,0.002785921096801758,1500.0,1.0
4,0.003216266632080078,1464.0,1.0
5,0.011640787124633789,625.0,1.0
6,0.012166738510131836,1500.0,1.0
7,0.016125917434692383,60.0,1.0
8,0.03974103927612305,40.0,-1.0
9,0.04238724708557129,1500.0,1.0
10,0.04566621780395508,40.0,-1.0
11,0.04666304588317871,40.0,-1.0
12,0.04666590690612793,40.0,-1.0
13,0.04666733741760254,40.0,-1.0
14,0.050278663635253906,1350.0,1.0
15,0.05112338066101074,40.0,-1.0
16,0.054558515548706055,52.0,-1.0
17,0.056321144104003906,40.0,1.0
18,0.05666780471801758,40.0,-1.0
19,0.057425737380981445,298.0,1.0
20,0.083160400390625,40.0,-1.0
21,0.0907752513885498,40.0,-1.0
22,0.09767937660217285,40.0,-1.0
23,0.10038971900939941,40.0,-1.0
24,0.10112738609313965,177.0,-1.0
25,0.11979007720947266,1500.0,1.0
26,0.12046575546264648,1500.0,1.0
27,0.12052750587463379,1500.0,1.0
28,0.12059140205383301,1500.0,1.0
29,0.1206521987915039,78.0,1.0
30,0.12091302871704102,158.0,1.0
31,0.12105393409729004,40.0,1.0
32,0.12837457656860352,91.0,1.0
33,0.12856221199035645,158.0,1.0
34,0.16096949577331543,40.0,-1.0
35,0.16251087188720703,158.0,1.0
36,0.16427946090698242,132.0,-1.0
37,0.16428112983703613,78.0,-1.0
38,0.16600561141967773,40.0,-1.0
39,0.16625261306762695,40.0,-1.0
40,0.16825342178344727,40.0,1.0
41,0.17647480964660645,158.0,1.0
42,0.19809269905090332,158.0,1.0
43,0.202164888381958,40.0,-1.0
44,0.2116246223449707,158.0,1.0
45,0.2160172462463379,40.0,-1.0
46,0.21767044067382812,750.0,1.0
47,0.23803496360778809,40.0,-1.0
48,0.24935650825500488,158.0,1.0
49,0.2567319869995117,40.0,-1.0
50,0.26561784744262695,405.0,-1.0
51,0.27161216735839844,158.0,1.0
52,0.274228572845459,158.0,1.0
53,0.27503085136413574,71.0,1.0
54,0.2754063606262207,40.0,1.0
55,0.28904128074645996,158.0,1.0
56,0.28963589668273926,40.0,-1.0
57,0.3153872489929199,40.0,-1.0
58,0.3158833980560303,40.0,-1.0
59,0.3200798034667969,40.0,1.0
60,0.3241555690765381,158.0,1.0
61,0.33728957176208496,158.0,1.0
62,0.3521842956542969,158.0,1.0
63,0.3646554946899414,40.0,-1.0
64,0.3722386360168457,158.0,1.0
65,0.39205384254455566,40.0,-1.0
66,0.39956092834472656,158.0,1.0
67,0.42489171028137207,158.0,1.0
68,0.4351677894592285,158.0,1.0
69,0.43891048431396484,40.0,-1.0
70,0.44887566566467285,158.0,1.0
71,0.4775254726409912,40.0,-1.0
72,0.5033390522003174,158.0,1.0
73,0.5035910606384277,158.0,1.0
74,0.5176851749420166,282.0,1.0
75,0.5188643932342529,176.0,1.0
76,0.5192534923553467,158.0,1.0
77,0.5210821628570557,1500.0,1.0
78,0.5225577354431152,1500.0,1.0
79,0.5342416763305664,40.0,-1.0
80,0.5361905097961426,1079.0,1.0
81,0.5431640148162842,40.0,-1.0
82,0.5574624538421631,40.0,-1.0
83,0.5642073154449463,40.0,-1.0
84,0.5642106533050537,40.0,-1.0
85,0.5679793357849121,158.0,1.0
86,0.5772693157196045,40.0,-1.0
87,0.592111349105835,158.0,1.0
88,0.5944974422454834,158.0,1.0
89,0.6076409816741943,40.0,-1.0
90,0.6086199283599854,158.0,1.0
91,0.6328246593475342,40.0,-1.0
92,0.6366147994995117,40.0,-1.0
93,0.6431879997253418,158.0,1.0
94,0.6489362716674805,40.0,-1.0
95,0.6576213836669922,132.0,-1.0
96,0.6576244831085205,78.0,-1.0
97,0.6580913066864014,158.0,1.0
98,0.6771008968353271,158.0,1.0
99,0.6773416996002197,40.0,1.0
100,0.6921310424804688,158.0,1.0
101,0.6971950531005859,40.0,-1.0
102,0.7204766273498535,158.0,1.0
103,0.7320659160614014,40.0,-1.0
104,0.752361536026001,158.0,1.0
105,0.7556226253509521,158.0,1.0
106,0.770254373550415,158.0,1.0
107,0.792151689529419,40.0,-1.0
108,0.8043367862701416,158.0,1.0
109,0.8105344772338867,40.0,-1.0
110,0.8184771537780762,158.0,1.0
111,0.8384063243865967,158.0,1.0
112,0.8538694381713867,158.0,1.0
113,0.859081506729126,40.0,-1.0
114,0.8815336227416992,158.0,1.0
115,0.8940138816833496,40.0,-1.0
116,0.8965208530426025,158.0,1.0
117,0.9163575172424316,158.0,1.0
118,0.9300458431243896,158.0,1.0
119,0.9365272521972656,40.0,-1.0
120,0.965280294418335,158.0,1.0
121,0.9694771766662598,40.0,-1.0
122,0.9791607856750488,158.0,1.0
123,0.9931530952453613,158.0,1.0
124,1.0089373588562012,158.0,1.0
125,1.0192806720733643,40.0,-1.0
126,1.0421550273895264,158.0,1.0
127,1.0487825870513916,40.0,-1.0
128,1.0568976402282715,158.0,1.0
129,1.0794053077697754,158.0,1.0
130,1.0912339687347412,158.0,1.0
131,1.0969829559326172,40.0,-1.0
132,1.1259808540344238,158.0,1.0
133,1.1311442852020264,40.0,-1.0
134,1.1515004634857178,158.0,1.0
135,1.154496431350708,158.0,1.0
136,1.1683671474456787,158.0,1.0
137,1.1918833255767822,40.0,-1.0
138,1.208146333694458,158.0,1.0
139,1.2082509994506836,40.0,-1.0
140,1.2175633907318115,158.0,1.0
141,1.2315142154693604,158.0,1.0
142,1.252938985824585,158.0,1.0
143,1.2574315071105957,40.0,-1.0
144,1.2804346084594727,158.0,1.0
145,1.292773962020874,40.0,-1.0
146,1.3132622241973877,158.0,1.0
147,1.3158917427062988,158.0,1.0
148,1.3294734954833984,158.0,1.0
149,1.3529243469238281,40.0,-1.0
150,1.364450216293335,158.0,1.0
151,1.3693656921386719,40.0,-1.0
152,1.3789970874786377,158.0,1.0
153,1.3923580646514893,158.0,1.0
154,1.4138097763061523,158.0,1.0
155,1.4203743934631348,40.0,-1.0
156,1.4413642883300781,158.0,1.0
157,1.453383445739746,40.0,-1.0
158,1.455521583557129,158.0,1.0
159,1.4773128032684326,158.0,1.0
160,1.4926135540008545,158.0,1.0
161,1.4952659606933594,40.0,-1.0
162,1.495682954788208,82.0,-1.0
163,1.5268685817718506,158.0,1.0
164,1.5328965187072754,40.0,-1.0
165,1.5516345500946045,158.0,1.0
166,1.5550041198730469,158.0,1.0
167,1.5689277648925781,158.0,1.0
168,1.590975284576416,40.0,-1.0
169,1.6026549339294434,158.0,1.0
170,1.6085312366485596,40.0,-1.0
171,1.617431402206421,158.0,1.0
172,1.6376636028289795,158.0,1.0
173,1.6518275737762451,158.0,1.0
174,1.6574275493621826,40.0,-1.0
175,1.6799304485321045,158.0,1.0
176,1.6918563842773438,40.0,-1.0
177,1.711660385131836,158.0,1.0
178,1.714681625366211,158.0,1.0
179,1.7313404083251953,158.0,1.0
180,1.751025915145874,40.0,-1.0
181,1.7635343074798584,158.0,1.0
182,1.7718634605407715,40.0,-1.0
183,1.777564287185669,158.0,1.0
184,1.7921791076660156,158.0,1.0
185,1.8124985694885254,158.0,1.0
186,1.8178575038909912,40.0,-1.0
187,1.843799352645874,158.0,1.0
188,1.8528778553009033,40.0,-1.0
189,1.871805191040039,158.0,1.0
190,1.9031147956848145,158.0,1.0
191,1.90340256690979,158.0,1.0
192,1.9118878841400146,40.0,-1.0
193,1.9264206886291504,158.0,1.0
194,1.9389405250549316,158.0,1.0
195,1.944495677947998,40.0,-1.0
196,1.9571568965911865,158.0,1.0
197,1.9737224578857422,158.0,1.0
198,1.9792320728302002,40.0,-1.0
199,2.002239227294922,158.0,1.0
200,2.0146243572235107,40.0,-1.0
201,2.015174627304077,158.0,1.0
202,2.036797046661377,158.0,1.0
203,2.050123929977417,158.0,1.0
204,2.0551321506500244,40.0,-1.0
205,2.0854783058166504,158.0,1.0
206,2.0896177291870117,40.0,-1.0
207,2.099909543991089,158.0,1.0
208,2.1138620376586914,158.0,1.0
209,2.127173900604248,158.0,1.0
210,2.1481029987335205,40.0,-1.0
